value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,25
14,121
15,283
16,1262
17,1919
18,847
19,962
20,915
21,2055
22,2498
23,2576
24,1550
25,1295
26,2470
27,3084
28,2484
29,1906
30,2377
31,2781
32,2898
33,4494
34,5514
35,4997
36,5803
37,5774
38,4094
39,3498
40,4860
41,5932
42,6986
43,7253
44,7117
45,5701
46,4974
47,6543
48,8082
49,7928
50,7395
51,6467
52,5177
53,4658
54,4255
55,4595
56,4460
57,4042
58,3420
59,3090
60,3014
61,3087
62,3069
63,3221
64,2980
65,3031
66,2741
67,2619
68,2320
69,2313
70,2348
71,2264
72,2330
73,2325
74,2103
75,2283
76,2278
77,2401
78,2439
79,2302
80,2420
81,2411
82,2608
83,2901
84,3133
85,3547
86,3563
87,3653
88,3527
89,3408
90,3751
91,4477
92,4867
93,4461
94,4459
95,4354
96,4164
97,4676
98,5104
99,5138
100,4925
101,4431
102,4319
103,4130
104,4147
105,4520
106,4628
107,4827
108,4778
109,4694
110,4686
111,5120
112,5732
113,5851
114,6050
115,5562
116,5077
117,5119
118,5250
119,5587
120,6090
121,5949
122,5936
123,5476
124,5040
125,5175
126,5170
127,5170
128,5114
129,4859
130,4570
131,4470
132,4261
133,4433
134,4554
135,4346
136,4174
137,4112
138,4041
139,4090
140,4125
141,4341
142,4263
143,4245
144,4103
145,3968
146,3934
147,4196
148,4437
149,4237
150,4341
151,4265
152,4231
153,3869
154,4140
155,4336
156,4040
157,3622
158,3618
159,3404
160,3360
161,3216
162,3129
163,3266
164,3507
165,3276
166,3253
167,3332
168,3342
169,3243
170,3256
171,3396
172,3366
173,3309
174,3345
175,3399
176,3454
177,3984
178,3292
179,3123
180,2855
181,2728
182,2563
183,2213
184,2193
185,1927
186,1808
187,1937
188,2047
189,2261
190,2395
191,2259
192,2339
193,2344
194,2582
195,2196
196,1756
197,1589
198,1425
199,1070
200,714
201,433
202,284
203,191
204,165
205,143
206,71
207,45
208,44
209,46
210,27
211,37
212,27
213,31
214,27
215,24
216,24
217,17
218,1
219,2
220,5
221,4
222,2
223,2
224,4
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
